Name	Birthdate	Sex	Profession	Lang
FARUK IŞIK	1963	M	BUREAUCRAT	1
AHMET ERDAL FERALAN	1962	M	ENGINEER	1
EBUBEKİR GİZLİGİDER	1979	M	LAWYER	2
MURAT GÖKTÜRK	1970	M	LAWYER	2
ALPASLAN KAVAKLIOĞLU	1962	M	BUREAUCRAT	2
ÖMER SELVİ	1976	M	ENGINEER	1
DOĞAN ŞAFAK	1966	M	BUSINESSMAN	2
MUSTAFA HAMARAT	1972	M	LAWYER	3
İDRİS NAİM ŞAHİN	1956	M	BUREAUCRAT	2
İHSAN ŞENER	1965	M	BUREAUCRAT	2
FATİH HAN ÜNAL	1968	M	ENGINEER	1
İDRİS YILDIZ	1950	M	ENGINEER	0
DEVLET BAHÇELİ	1948	M	ACADEMICIAN	1
DURDU MEHMET KASTAL	1969	M	ACADEMICIAN	1
SUAT ÖNAL	1961	M	ENGINEER	2
HASAN HÜSEYİN TÜRKOĞLU	1968	M	BUREAUCRAT	1
NUSRET BAYRAKTAR	1951	M	ENGINEER	1
HASAN KARAL	1973	M	THEOLOGIST	1
HAYATİ YAZICI	1952	M	JUDGE	0
HASAN ALİ ÇELİK	1959	M	ACADEMICIAN	1
ŞABAN DİŞLİ	1958	M	BANKER	3
AYŞENUR İSLAM	1958	W	ACADEMICIAN	1
MÜNİR KUTLUATA	1946	M	ECONOMIST	1
ENGİN ÖZKOÇ	1962	M	BUSINESSMAN	1
AYHAN SEFER ÜSTÜN	1970	M	LAWYER	1
ALİ İHSAN YAVUZ	1969	M	LAWYER	2
TÜLAY BAKIR	1947	W	DOCTOR	2
CEMAL YILMAZ DEMİR	1960	M	TEACHER	2
MUSTAFA DEMİR	1961	M	ARCHITECT	0
AHMET İHSAN KALKAVAN	1953	M	ENGINEER	2
AKİF ÇAĞATAY KILIÇ	1976	M	SPECIALIST	2
SUAT KILIÇ	1972	M	LAWYER	1
AHMET HALUK KOÇ	1954	M	DOCTOR	2
CEMALETTİN ŞİMŞEK	1954	M	DENTIST	1
AHMET YENİ	1955	M	BANKER	2
ATIF DEMİRKIRAN	1952	M	ENGINEER	2
OSMAN ÖREN	1966	M	TEACHER	1
ENGİN ALTAY	1963	M	TEACHER	1
